title,year,actors,genres,network,episodes
7th Grade Civil Servant,2013,"Choi Kang-hee,Joo Won","Romantic comedy,Action,Pop,K-pop,soundtrack,R&B",MBC TV,20
18 Again,2020,"Kim Ha-neul,Yoon Sang-hyun,Lee Do-hyun","Romance,Comedy,Fantasy drama,Coming-of-age,Soundtrack",,16
5th Republic,2005,"Lee Deok-hwa,Seo In-seok,Hong Hak-pyo,Lee Jin-woo,Cha Kwang-soo,Lee Jae-yong","Period drama,Docudrama,Biopic",MBC TV,41
49 Days,2011,"Lee Yo-won,Nam Gyu-ri,Jung Il-woo,Jo Hyun-jae,Bae Soo-bin,Seo Ji-hye","Romance,Melodrama,Fantasy,Body swap",SBS TV,20
12 Years Promise,2014,"Lee So-yeon,Namkoong Min,Lee Tae-im,Yoon So-hee,Lee Won-keun,Ryu Hyo-young","Romantic comedy,Family",JTBC,26
12 Signs of Love,2012,"Yoon Jin-seo,On Joo-wan",Romantic comedy,tvN,16
A New Leaf,2014,"Kim Myung-min,Park Min-young,Kim Sang-joong,Chae Jung-an","Drama,Legal drama,Romance",MBC TV,16
Dear My Friends,2016,"Go Hyun-jung,Kim Hye-ja,Na Moon-hee,Go Doo-shim,Park Won-sook,Youn Yuh-jung,Joo Hyun,Kim Young-ok,Shin Goo",Drama,tvN,16
Exo Next Door,2015,"Exo,Moon Ga-young",Web series,Naver,16
Everybody Say Kimchi,2014,Kim Ji-young,"Family,Drama,Romance,Comedy",Munhwa Broadcasting Corporation,132
Evergreen,2018,"Lee Jong-hyun,Kim So-eun","Fantasy,Romantic comedy",,16
Heard It Through the Grapevine,2015,"Yoo Jun-sang,Yoo Ho-jeong,Lee Joon,Go Ah-sung","Drama,Satire,Black comedy,Family,Romance",SBS TV,30
Heading to the Ground,2009,"Jung Yun-ho,Go Ara,Lee Yoon-ji,Lee Sang-yoon","Sports,Comedy",MBC,16
He Is Psychometric,2019,"Park Jin-young,Shin Ye-eun,Kim Kwon,Kim Da-som","Fantasy,Thriller,Mystery,Procedural,Romantic comedy,Soundtrack",tvN,16
Happy Together,1999,"Lee Byung-hun,Song Seung-heon,Kim Ha-neul,Jo Min-su,Kang Sung-yeon,Jun Ji-hyun,Cha Tae-hyun,Cho Jae-hyun","Drama,Family,Romance",SBS TV,16
I Picked Up a Celebrity on the Street,2018,"Sung Hoon,Kim Ga-eun",Romantic comedy,,10
I Order You,2015,"Jung Yun-ho,Kim Ga-eun","Romance,Comedy",SBS Plus,16
I Need Romance 3,2014,"Kim So-yeon,Sung Joon,Namkoong Min,Wang Ji-won,Park Hyo-joo,Yoon Seung-ah,Park Yu-hwan","Romance,Comedy,Drama",tvN,16
I Need Romance 2012,2012,"Jung Yu-mi,Lee Jin-wook,Kim Ji-seok","Romance,Comedy,Drama",tvN,16
